Vehicle type you use? ,Location ,Which platform do you Primarily drive for? ,"Do you prefer any other platforms, If yes, then which?","Do you prefer any other platforms, If yes, then which?2",Age of driver?,Are you a full-time or part-time driver?,Main reason for preferring platform ?,Driving experience on ride-hailing platforms? ,Average Daily Earnings?,Which platform provides you the highest number of rides? ,How often do you get back-to-back rides on each app?   [Ola],How often do you get back-to-back rides on each app?   [Uber],How often do you get back-to-back rides on each app?   [Rapido],How many rides do you complete daily on average? ,Average working hours per day? ,Please rate the ride demand during the following non‑office hours. [Atfernoon (12 PM - 5 PM)],Please rate the ride demand during the following non‑office hours. [Night (9 PM - 12 AM)],Please rate the ride demand during the following non‑office hours. [Late Night (12 AM - 7 AM)],"Is there any difference for average rides in weekdays and weekends,if yes which days have more rides?","Does riding distance affects your income per ride, if yes, then which type of rides do you prefer?",Biggest challenge you face as a driver  ,Which app‑related issues do you face most often?,Which improvement would most increase your satisfaction as a driver? ,Please rate your satisfaction level for each app   [Uber],Please rate your satisfaction level for each app   [Ola],Please rate your satisfaction level for each app   [Rapido]
Car,Airport,Uber,Rapido,,36,Full Time,Lower commission charges;More rides,More than 5 years,2000,Uber,,4,,19,More than 10 hours,1,,,"Saturday, Sunday",Not much difference,Long waiting times;Platform penalties,No issues,Higher fares (meter-wise),4,1,2
Car,Airport,Uber,,,36,Part Time,Lower commission charges;More rides,More than 5 years,2700,Uber,,3,,13,More than 10 hours,2,,,"Monday, Friday, Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,1,1
Car,Airport,Ola,Rapido,Uber,46,Full Time,More rides,More than 5 years,2000,Ola,4,3,3,10,More than 10 hours,1,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Longer,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),1,2,2
Car,Airport,Rapido,Ola,,25,Part Time,Lower commission charges,1 to 3 years,3000,Rapido,,2,,10,More than 10 hours,1,,,"Friday, Saturday, Sunday",Longer,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),2,1,2
Car,Airport,Uber,Rapido,,26,Part Time,Lower commission charges;More rides,3 to 5 years,3000,Uber,,3,,9,More than 10 hours,2,,,"Thursday, Friday, Saturday, Sunday",Not much difference,Low earnings,GPS/location issues,Higher fares (meter-wise),4,2,3
Car,Airport,Ola,Uber,,27,Full Time,More rides,3 to 5 years,4000,Uber,,4,,9,More than 10 hours,1,2,2,"Monday, Friday, Saturday, Sunday",Longer,Platform penalties,No issues,Higher fares (meter-wise),2,4,
Car,Airport,Ola,Rapido,Uber,32,Part Time,Lower commission charges;More rides,More than 5 years,2600,Ola,4,2,3,7,More than 10 hours,2,,,Monday,Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),1,3,1
Car,Airport,Ola,,,26,Part Time,Lower commission charges,1 to 3 years,2000,Ola,3,,,5,More than 10 hours,1,,,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Long waiting times,App crashes or slow performance;GPS/location issues,Higher fares (meter-wise),1,4,1
Car,Airport,Uber,Ola,,35,Full Time,More rides,1 to 3 years,2500,Uber,,4,,8,More than 10 hours,1,3,1,"Friday, Saturday, Sunday",Not much difference,Long waiting times,Poor customer support response,Higher fares (meter-wise),1,1,1
Car,Airport,Uber,Rapido,Ola,50,Full Time,More rides,More than 5 years,1760,Uber,2,4,3,10,More than 10 hours,1,2,,"Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),3,4,1
Car,Railway stations,Uber,Rapido,Ola,23,Part Time,Lower commission charges;More rides,1 to 3 years,2000,Uber,3,3,3,6,More than 10 hours,1,2,,"Saturday, Sunday",Longer,Low earnings;Long waiting times,No issues,Higher fares (meter-wise),1,1,1
Auto-rickshaw,Random,Uber,Uber,,41,Full Time,More rides,3 to 5 years,2000,Uber,,4,,10,8 to 10 hours,1,3,2,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Low earnings;Platform penalties,No issues,Higher fares (meter-wise);More rides,3,,
Auto-rickshaw,Random,Uber,Uber,,39,Part Time,More rides,1 to 3 years,1200,Uber,,4,,8,6 to 8 hours,1,2,1,"Friday, Saturday, Sunday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise),4,,
Auto-rickshaw,Random,Uber,Uber,,43,Full Time,More rides,3 to 5 years,2000,Uber,,4,,12,8 to 10 hours,1,2,1,"Saturday, Sunday",Longer,Low earnings,GPS/location issues;Delayed ride requests,Higher fares (meter-wise);More rides,4,,
Auto-rickshaw,Random,Uber,Ola,,43,Full Time,More rides,3 to 5 years,2700,Uber,3,4,,19,More than 10 hours,1,2,1,"Monday, Tuesday, Wednesday, Thursday, Friday",Not much difference,Long waiting times,No issues,Higher fares (meter-wise);More rides,4,2,1
